customerkey,prefix,firstname,lastname,birthdate,maritalstatus,gender,emailaddress,annualincome,totalchildren,educationlevel,occupation,homeowner,fullname,age,incomecategory
14315,Mr.,Carl,Chander,1964-07-04,Single,Male,carl15@adventure-works.com,70000.0,0,Bachelors,Professional,No,Carl Chander,61,Medium
14316,Mr.,Leonard,Anand,1962-01-07,Married,Male,leonard24@adventure-works.com,60000.0,1,Partial College,Skilled Manual,Yes,Leonard Anand,64,Medium
14317,Mr.,Steve,Liang,1962-08-22,Single,Male,steve19@adventure-works.com,70000.0,5,Bachelors,Professional,Yes,Steve Liang,63,Medium
14318,Mr.,Seth,Rogers,1962-10-18,Married,Male,seth90@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Seth Rogers,63,Medium
14319,Mrs.,Renee,Sanz,1962-12-25,Married,Female,renee18@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Renee Sanz,63,Medium
14320,Mrs.,Amy,Hu,1961-02-04,Married,Female,amy27@adventure-works.com,70000.0,5,Partial College,Skilled Manual,Yes,Amy Hu,65,Medium
14321,Mr.,Jackson,Evans,1958-10-26,Married,Male,jackson30@adventure-works.com,80000.0,5,Bachelors,Professional,Yes,Jackson Evans,67,Medium
14322,Mrs.,Sydney,Thomas,1958-07-10,Single,Female,sydney74@adventure-works.com,90000.0,2,Bachelors,Management,Yes,Sydney Thomas,67,Medium
14323,Mr.,Colin,Tang,1957-09-20,Single,Male,colin27@adventure-works.com,70000.0,1,Partial College,Skilled Manual,No,Colin Tang,68,Medium
14324,Mrs.,Jessie,Alvarez,1957-03-10,Single,Female,jessie2@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Yes,Jessie Alvarez,69,Medium
14325,Mrs.,Crystal,Li,1957-07-05,Single,Female,crystal5@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Yes,Crystal Li,68,Medium
14326,Mr.,Joe,Perez,1957-04-02,Single,Male,joe23@adventure-works.com,70000.0,1,Partial College,Skilled Manual,Yes,Joe Perez,69,Medium
14327,Mr.,Kyle,Butler,1976-02-19,Single,Male,kyle9@adventure-works.com,30000.0,0,High School,Skilled Manual,No,Kyle Butler,50,Low
14328,Ms.,Andrea,Rogers,1976-08-08,Single,Female,andrea19@adventure-works.com,30000.0,0,High School,Skilled Manual,No,Andrea Rogers,49,Low
14329,Ms.,Holly,Sanchez,1976-01-20,Single,Female,holly18@adventure-works.com,30000.0,0,High School,Skilled Manual,No,Holly Sanchez,50,Low
14330,Mr.,Matthew,Harris,1976-10-05,Married,Male,matthew19@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Matthew Harris,49,Low
14331,Mr.,Timothy,Murphy,1980-02-24,Single,Male,timothy16@adventure-works.com,30000.0,0,High School,Skilled Manual,Yes,Timothy Murphy,46,Low
14332,Ms.,Jade,Rogers,1980-04-21,Single,Female,jade15@adventure-works.com,30000.0,0,High School,Skilled Manual,No,Jade Rogers,46,Low
14333,Mr.,Bobby,Suri,1980-04-04,Single,Male,bobby2@adventure-works.com,30000.0,0,Partial High School,Clerical,No,Bobby Suri,46,Low
14334,Mr.,Patrick,Murphy,1980-07-25,Married,Male,patrick20@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Patrick Murphy,45,Low
14335,Ms.,Allison,Cox,1978-09-13,Married,Female,allison9@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Allison Cox,47,Low
14336,Mr.,Gabriel,Baker,1978-08-07,Married,Male,gabriel38@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Gabriel Baker,47,Low
14337,Ms.,Olivia,Coleman,1978-03-01,Single,Female,olivia51@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Olivia Coleman,48,Low
14338,Ms.,Natalie,Taylor,1978-05-25,Married,Female,natalie76@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Natalie Taylor,48,Low
14339,Ms.,Brandy,Suri,1977-12-02,Single,Female,brandy18@adventure-works.com,30000.0,0,Partial High School,Clerical,No,Brandy Suri,48,Low
14340,Ms.,Miranda,Butler,1977-04-01,Single,Female,miranda14@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Miranda Butler,49,Low
14341,Mr.,Sean,Sanders,1979-10-23,Married,Male,sean10@adventure-works.com,30000.0,0,Partial High School,Clerical,No,Sean Sanders,46,Low
14342,Ms.,Beth,Ruiz,1979-03-26,Single,Female,beth4@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Beth Ruiz,47,Low
14343,Mr.,Xavier,Turner,1979-07-24,Married,Male,xavier37@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Xavier Turner,46,Low
14344,Mr.,Kurt,Xie,1939-09-21,Single,Male,kurt2@adventure-works.com,30000.0,2,Partial College,Clerical,Yes,Kurt Xie,86,Low
14345,Mrs.,Kristi,Rodriguez,1940-02-09,Married,Female,kristi37@adventure-works.com,40000.0,2,Bachelors,Management,No,Kristi Rodriguez,86,Low
14346,Mrs.,Evelyn,Perez,1941-06-01,Single,Female,evelyn21@adventure-works.com,40000.0,2,Bachelors,Management,Yes,Evelyn Perez,85,Low
14347,Mrs.,Tara,Goel,1941-05-17,Single,Female,tara20@adventure-works.com,40000.0,2,Bachelors,Management,Yes,Tara Goel,85,Low
14348,Mr.,Alex,Scott,1942-11-16,Married,Male,alex44@adventure-works.com,60000.0,2,Graduate Degree,Management,Yes,Alex Scott,83,Medium
14349,Ms.,Nicole,Griffin,1976-05-11,Married,Female,nicole70@adventure-works.com,40000.0,0,High School,Skilled Manual,Yes,Nicole Griffin,50,Low
14350,Ms.,Emily,Moore,1976-06-08,Single,Female,emily8@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Emily Moore,49,Low
14351,Ms.,Riley,Gray,1976-02-02,Single,Female,riley25@adventure-works.com,40000.0,0,Partial College,Skilled Manual,Yes,Riley Gray,50,Low
14352,Ms.,Melissa,Butler,1975-03-18,Single,Female,melissa9@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Melissa Butler,51,Low
14353,Ms.,Erin,Reed,1975-06-15,Single,Female,erin24@adventure-works.com,40000.0,0,High School,Skilled Manual,No,Erin Reed,50,Low
14354,Mr.,Seth,Green,1974-07-28,Single,Male,seth32@adventure-works.com,30000.0,0,Partial College,Skilled Manual,No,Seth Green,51,Low
14355,Mr.,Ian,King,1973-11-11,Married,Male,ian25@adventure-works.com,60000.0,0,Partial College,Skilled Manual,Yes,Ian King,52,Medium
14356,Ms.,Isabella,Baker,1967-07-19,Single,Female,isabella47@adventure-works.com,100000.0,0,Bachelors,Management,Yes,Isabella Baker,58,High
14357,Mr.,Dalton,Collins,1967-07-13,Married,Male,dalton45@adventure-works.com,100000.0,1,Bachelors,Management,Yes,Dalton Collins,58,High
14358,Mrs.,Amanda,Watson,1967-12-22,Married,Female,amanda18@adventure-works.com,100000.0,1,Bachelors,Management,Yes,Amanda Watson,58,High
14359,Mr.,Eduardo,Henderson,1968-11-02,Married,Male,eduardo49@adventure-works.com,90000.0,4,Bachelors,Management,Yes,Eduardo Henderson,57,Medium
14360,Mrs.,Samantha,Patterson,1959-04-17,Single,Female,samantha36@adventure-works.com,60000.0,4,Graduate Degree,Skilled Manual,Yes,Samantha Patterson,67,Medium
14361,Mr.,Franklin,Raje,1959-01-24,Married,Male,franklin31@adventure-works.com,60000.0,4,Graduate Degree,Skilled Manual,Yes,Franklin Raje,67,Medium
14362,Mr.,Roberto,Gill,1972-05-03,Single,Male,roberto14@adventure-works.com,40000.0,4,Partial College,Clerical,Yes,Roberto Gill,54,Low
14363,Ms.,Natalie,Long,1973-09-04,Single,Female,natalie32@adventure-works.com,50000.0,0,Graduate Degree,Skilled Manual,Yes,Natalie Long,52,Medium
14364,Mr.,Mario,Rai,1973-03-09,Married,Male,mario16@adventure-works.com,50000.0,1,Graduate Degree,Skilled Manual,Yes,Mario Rai,53,Medium
14365,Mr.,Evan,Ward,1973-05-19,Married,Male,evan13@adventure-works.com,50000.0,1,Graduate Degree,Skilled Manual,No,Evan Ward,53,Medium
14366,Mrs.,Anna,Brooks,1971-01-22,Single,Female,anna23@adventure-works.com,60000.0,1,Graduate Degree,Skilled Manual,Yes,Anna Brooks,55,Medium
14367,Mrs.,Courtney,Green,1971-03-01,Single,Female,courtney11@adventure-works.com,60000.0,1,Graduate Degree,Skilled Manual,Yes,Courtney Green,55,Medium
14368,Mr.,Richard,Thompson,1971-03-15,Married,Male,richard9@adventure-works.com,60000.0,1,Graduate Degree,Skilled Manual,Yes,Richard Thompson,55,Medium
14369,Mr.,Devin,Sanchez,1971-08-20,Married,Male,devin83@adventure-works.com,60000.0,1,Graduate Degree,Skilled Manual,Yes,Devin Sanchez,54,Medium
14370,Mrs.,Meghan,Dominguez,1972-09-09,Married,Female,meghan12@adventure-works.com,40000.0,1,Graduate Degree,Skilled Manual,Yes,Meghan Dominguez,53,Low
14371,Mr.,Jeremiah,Lewis,1972-06-08,Married,Male,jeremiah9@adventure-works.com,40000.0,1,Graduate Degree,Skilled Manual,Yes,Jeremiah Lewis,53,Low
14372,Mrs.,Kaitlyn,Washington,1972-07-11,Married,Female,kaitlyn80@adventure-works.com,60000.0,1,Graduate Degree,Skilled Manual,Yes,Kaitlyn Washington,53,Medium
14373,Mr.,Ricardo,Jai,1972-06-14,Married,Male,ricardo11@adventure-works.com,60000.0,1,Graduate Degree,Skilled Manual,Yes,Ricardo Jai,53,Medium
14374,Mr.,David,Yang,1972-09-18,Married,Male,david59@adventure-works.com,70000.0,1,Graduate Degree,Professional,Yes,David Yang,53,Medium
14375,Mrs.,Alexandra,Moore,1970-05-12,Married,Female,alexandra71@adventure-works.com,50000.0,1,Bachelors,Skilled Manual,Yes,Alexandra Moore,56,Medium
14376,Mrs.,Faith,Torres,1944-04-19,Single,Female,faith25@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Faith Torres,82,Medium
14377,Mrs.,Paula,Ruiz,1944-06-09,Single,Female,paula4@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Paula Ruiz,82,Medium
14378,Mr.,Cory,Mehta,1944-09-01,Single,Male,cory12@adventure-works.com,60000.0,4,Graduate Degree,Management,Yes,Cory Mehta,81,Medium
14379,Mr.,Richard,Foster,1944-02-22,Married,Male,richard71@adventure-works.com,60000.0,4,Graduate Degree,Management,Yes,Richard Foster,82,Medium
14380,Mrs.,Kaylee,Watson,1944-07-11,Married,Female,kaylee6@adventure-works.com,70000.0,5,Bachelors,Management,Yes,Kaylee Watson,81,Medium
14381,Mrs.,Alexa,Cooper,1944-12-22,Single,Female,alexa16@adventure-works.com,70000.0,5,Bachelors,Management,Yes,Alexa Cooper,81,Medium
14382,Mr.,Darren,Blanco,1944-11-06,Single,Male,darren38@adventure-works.com,70000.0,5,Bachelors,Management,Yes,Darren Blanco,81,Medium
14383,Mr.,Marvin,Ferrier,1945-05-21,Married,Male,marvin9@adventure-works.com,70000.0,5,Bachelors,Management,Yes,Marvin Ferrier,81,Medium
14384,Mrs.,Rachel,Miller,1945-05-22,Married,Female,rachel8@adventure-works.com,60000.0,4,Bachelors,Management,Yes,Rachel Miller,81,Medium
14385,Mrs.,Maria,Hall,1945-10-20,Married,Female,maria64@adventure-works.com,60000.0,4,Bachelors,Management,Yes,Maria Hall,80,Medium
14386,Mrs.,Marissa,Wood,1946-07-20,Single,Female,marissa0@adventure-works.com,60000.0,5,Bachelors,Management,Yes,Marissa Wood,79,Medium
14387,Mrs.,Brittany,Hughes,1946-12-02,Married,Female,brittany10@adventure-works.com,60000.0,5,Bachelors,Management,Yes,Brittany Hughes,79,Medium
14388,Mrs.,Kaylee,Rogers,1946-07-15,Married,Female,kaylee16@adventure-works.com,70000.0,5,Bachelors,Management,Yes,Kaylee Rogers,79,Medium
14389,Mr.,Ryan,Harris,1947-08-02,Married,Male,ryan36@adventure-works.com,60000.0,2,Bachelors,Management,Yes,Ryan Harris,78,Medium
14390,Mr.,Logan,Kumar,1947-11-22,Married,Male,logan1@adventure-works.com,60000.0,2,Bachelors,Management,No,Logan Kumar,78,Medium
14391,Mr.,Jason,Long,1947-03-08,Married,Male,jason7@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Jason Long,79,Medium
14392,Mr.,Justin,Jackson,1947-08-24,Married,Male,justin31@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Justin Jackson,78,Medium
14393,Mr.,José,Perez,1947-10-05,Single,Male,,70000.0,4,Bachelors,Management,Yes,José Perez,78,Medium
14394,Mr.,Jacob,Rodriguez,1947-10-07,Married,Male,jacob16@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Jacob Rodriguez,78,Medium
14395,Mr.,Devin,Reed,1947-03-23,Single,Male,devin85@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Devin Reed,79,Medium
14396,Mrs.,Zoe,Sanchez,1948-04-17,Single,Female,zoe22@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Zoe Sanchez,78,Medium
14397,Mrs.,Sierra,Edwards,1948-03-24,Single,Female,sierra1@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Sierra Edwards,78,Medium
14399,Mr.,Jeremy,Peterson,1948-05-06,Single,Male,jeremy35@adventure-works.com,60000.0,2,Bachelors,Management,Yes,Jeremy Peterson,78,Medium
14400,Mr.,Brandon,Brown,1948-10-22,Single,Male,brandon42@adventure-works.com,70000.0,4,Bachelors,Management,Yes,Brandon Brown,77,Medium
14401,Mr.,Jose,Kumar,1949-03-09,Married,Male,jose22@adventure-works.com,60000.0,2,Partial College,Professional,No,Jose Kumar,77,Medium
14402,Mrs.,Hailey,Parker,1949-05-21,Single,Female,hailey50@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Hailey Parker,77,Medium
14403,Mrs.,Angelica,Russell,1949-03-19,Single,Female,angelica19@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Angelica Russell,77,Medium
14404,Mrs.,Rachel,Davis,1950-09-27,Single,Female,rachel7@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Rachel Davis,75,Medium
14405,Mr.,Dylan,Walker,1950-06-01,Married,Male,dylan53@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Dylan Walker,76,Medium
14406,Mrs.,Carrie,Schmidt,1950-08-15,Married,Female,carrie17@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Carrie Schmidt,75,Medium
14407,Mr.,Thomas,Bryant,1950-06-04,Married,Male,thomas20@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Thomas Bryant,76,Medium
14408,Mrs.,Jasmine,Cook,1950-08-14,Single,Female,jasmine25@adventure-works.com,70000.0,4,Partial College,Professional,Yes,Jasmine Cook,75,Medium
14409,Mr.,Eric,Wang,1950-04-26,Married,Male,eric32@adventure-works.com,70000.0,4,Partial College,Professional,Yes,Eric Wang,76,Medium
14410,Mrs.,Arianna,Brooks,1950-06-26,Married,Female,arianna22@adventure-works.com,70000.0,4,Partial College,Professional,Yes,Arianna Brooks,75,Medium
14411,Mrs.,Ashley,Johnson,1951-02-04,Single,Female,ashley1@adventure-works.com,70000.0,2,High School,Professional,Yes,Ashley Johnson,75,Medium
14412,Mrs.,Nicole,Blue,1951-04-03,Single,Female,nicole51@adventure-works.com,70000.0,2,High School,Professional,Yes,Nicole Blue,75,Medium
14413,Mrs.,Rachel,Patterson,1951-02-15,Married,Female,rachel58@adventure-works.com,60000.0,2,Partial College,Professional,Yes,Rachel Patterson,75,Medium
14414,Mrs.,Rachel,Wilson,1951-09-14,Married,Female,rachel9@adventure-works.com,60000.0,2,Partial College,Professional,No,Rachel Wilson,74,Medium
14415,Mr.,William,Davis,1951-11-16,Married,Male,william21@adventure-works.com,60000.0,2,Partial College,Professional,Yes,William Davis,74,Medium
14416,Mrs.,Madison,Flores,1952-04-28,Married,Female,madison48@adventure-works.com,60000.0,3,High School,Professional,Yes,Madison Flores,74,Medium
14417,Mr.,Ernest,Lu,1952-02-05,Single,Male,ernest11@adventure-works.com,60000.0,3,High School,Professional,Yes,Ernest Lu,74,Medium
14418,Mrs.,Rebecca,Young,1952-04-26,Married,Female,rebecca25@adventure-works.com,60000.0,3,High School,Professional,Yes,Rebecca Young,74,Medium
14419,Mrs.,Abigail,Ward,1952-05-13,Married,Female,abigail17@adventure-works.com,70000.0,4,Partial College,Professional,Yes,Abigail Ward,74,Medium
14420,Mrs.,Chloe,Wright,1952-08-19,Single,Female,chloe18@adventure-works.com,70000.0,4,Partial College,Professional,Yes,Chloe Wright,73,Medium
14421,Mrs.,Hannah,Barnes,1952-07-28,Married,Female,hannah26@adventure-works.com,70000.0,5,Partial College,Professional,Yes,Hannah Barnes,73,Medium
14422,Mrs.,Cara,Lu,1958-11-06,Single,Female,cara7@adventure-works.com,130000.0,2,Bachelors,Management,No,Cara Lu,67,High
14423,Mrs.,Jill,Ruiz,1958-06-20,Married,Female,jill9@adventure-works.com,130000.0,2,Bachelors,Management,Yes,Jill Ruiz,67,High
14424,Mrs.,Stefanie,Raman,1957-07-08,Single,Female,stefanie9@adventure-works.com,110000.0,2,Partial College,Professional,Yes,Stefanie Raman,68,High
14425,Mr.,Victor,Carlson,1957-08-18,Married,Male,victor18@adventure-works.com,120000.0,2,High School,Professional,Yes,Victor Carlson,68,High
14426,Mrs.,Madison,Hughes,1957-08-23,Married,Female,madison47@adventure-works.com,130000.0,2,Partial College,Professional,Yes,Madison Hughes,68,High
14427,Mr.,Emmanuel,Patel,1956-05-08,Married,Male,emmanuel3@adventure-works.com,130000.0,3,Partial College,Professional,Yes,Emmanuel Patel,70,High
14428,Mrs.,Cassie,Andersen,1955-10-12,Single,Female,cassie11@adventure-works.com,130000.0,3,Partial College,Professional,No,Cassie Andersen,70,High
14429,Mrs.,Lacey,He,1955-07-25,Single,Female,lacey31@adventure-works.com,130000.0,3,Partial College,Professional,No,Lacey He,70,High
14430,Mrs.,Sydney,Jones,1957-07-06,Married,Female,sydney67@adventure-works.com,90000.0,2,Partial College,Professional,Yes,Sydney Jones,68,Medium
14431,Mrs.,Kayla,Moore,1956-11-21,Married,Female,kayla8@adventure-works.com,70000.0,3,Partial College,Professional,No,Kayla Moore,69,Medium
14432,Mr.,Antonio,Russell,1933-08-24,Single,Male,antonio20@adventure-works.com,90000.0,4,Graduate Degree,Management,Yes,Antonio Russell,92,Medium
14433,Mrs.,Jennifer,Peterson,1933-06-05,Married,Female,jennifer68@adventure-works.com,110000.0,1,Graduate Degree,Management,Yes,Jennifer Peterson,93,High
14434,Mrs.,Sophia,Hill,1933-03-28,Single,Female,sophia12@adventure-works.com,110000.0,1,Graduate Degree,Management,Yes,Sophia Hill,93,High
14435,Mrs.,Jennifer,Wilson,1933-04-16,Married,Female,jennifer35@adventure-works.com,110000.0,1,Graduate Degree,Management,Yes,Jennifer Wilson,93,High
14436,Mr.,John,Martin,1965-09-04,Married,Male,john52@adventure-works.com,90000.0,4,Partial College,Professional,Yes,John Martin,60,Medium
14437,Mr.,Mitchell,Anand,1965-08-02,Married,Male,mitchell18@adventure-works.com,90000.0,5,Partial College,Professional,Yes,Mitchell Anand,60,Medium
14438,Mrs.,Gabrielle,Gonzales,1965-04-16,Single,Female,gabrielle39@adventure-works.com,100000.0,3,Bachelors,Management,Yes,Gabrielle Gonzales,61,High
14439,Mr.,Brian,Cox,1965-08-02,Married,Male,brian22@adventure-works.com,100000.0,4,Partial College,Professional,Yes,Brian Cox,60,High
14440,Mr.,Jon,Tang,1965-11-13,Married,Male,jon44@adventure-works.com,100000.0,4,Partial College,Professional,Yes,Jon Tang,60,High
14441,Mr.,William,Lewis,1965-11-07,Married,Male,william27@adventure-works.com,110000.0,2,Bachelors,Management,Yes,William Lewis,60,High
14442,Mrs.,Shelby,Peterson,1965-06-24,Single,Female,shelby5@adventure-works.com,120000.0,3,Partial College,Professional,Yes,Shelby Peterson,60,High
14443,Mr.,Benjamin,Wilson,1965-11-04,Married,Male,benjamin41@adventure-works.com,130000.0,1,Graduate Degree,Management,Yes,Benjamin Wilson,60,High
14444,Mr.,Patrick,Sanders,1965-03-11,Married,Male,patrick9@adventure-works.com,130000.0,1,Graduate Degree,Management,Yes,Patrick Sanders,61,High
14445,Mr.,Benjamin,Henderson,1965-10-23,Married,Male,benjamin6@adventure-works.com,130000.0,1,Graduate Degree,Management,Yes,Benjamin Henderson,60,High
14446,Mr.,Jeremiah,Johnson,1964-08-09,Married,Male,jeremiah25@adventure-works.com,80000.0,4,Bachelors,Management,Yes,Jeremiah Johnson,61,Medium
14447,Mrs.,Madison,Alexander,1964-01-05,Single,Female,madison31@adventure-works.com,80000.0,4,Partial College,Professional,Yes,Madison Alexander,62,Medium
14448,Mrs.,Lauren,Butler,1964-12-25,Married,Female,lauren61@adventure-works.com,90000.0,5,Partial College,Professional,Yes,Lauren Butler,61,Medium
14449,Mr.,Logan,Jenkins,1964-05-10,Single,Male,logan9@adventure-works.com,90000.0,0,Partial College,Professional,No,Logan Jenkins,62,Medium
14450,Mr.,Kevin,Butler,1964-04-09,Married,Male,kevin17@adventure-works.com,130000.0,2,Graduate Degree,Management,Yes,Kevin Butler,62,High
14451,Mr.,Tyler,Moore,1964-06-01,Single,Male,tyler14@adventure-works.com,130000.0,2,Graduate Degree,Management,No,Tyler Moore,62,High
14452,Mr.,Alex,Gonzalez,1956-09-17,Married,Male,alex37@adventure-works.com,70000.0,3,Partial College,Professional,Yes,Alex Gonzalez,69,Medium
14453,Mr.,Jesse,Scott,1956-08-12,Single,Male,jesse37@adventure-works.com,90000.0,2,Partial College,Professional,Yes,Jesse Scott,69,Medium
14454,Mrs.,Kayla,Anderson,1934-11-18,Married,Female,kayla10@adventure-works.com,100000.0,1,Graduate Degree,Management,Yes,Kayla Anderson,91,High
14455,Mrs.,Alexandra,Mitchell,1963-03-17,Married,Female,alexandra53@adventure-works.com,80000.0,4,Partial College,Professional,Yes,Alexandra Mitchell,63,Medium
14456,Mr.,Benjamin,Walker,1963-03-11,Single,Male,benjamin38@adventure-works.com,90000.0,0,Partial College,Professional,No,Benjamin Walker,63,Medium
14458,Mr.,Jordan,Yang,1962-06-04,Married,Male,jordan23@adventure-works.com,80000.0,5,Partial College,Professional,Yes,Jordan Yang,64,Medium
14459,Mr.,Cody,Gray,1962-06-09,Single,Male,cody6@adventure-works.com,80000.0,5,Partial College,Professional,Yes,Cody Gray,64,Medium
14460,Mr.,Jose,Long,1962-10-08,Married,Male,jose32@adventure-works.com,100000.0,1,Partial College,Professional,Yes,Jose Long,63,High
14461,Mrs.,Chloe,Gonzalez,1962-11-13,Married,Female,chloe15@adventure-works.com,100000.0,1,Partial College,Professional,Yes,Chloe Gonzalez,63,High
14462,Mrs.,Beth,Sanz,1962-07-02,Married,Female,beth22@adventure-works.com,110000.0,1,Bachelors,Management,Yes,Beth Sanz,63,High
14463,Mrs.,Julia,Patterson,1962-10-10,Married,Female,julia76@adventure-works.com,120000.0,1,Partial College,Professional,Yes,Julia Patterson,63,High
14464,Mrs.,Elizabeth,Price,1962-06-27,Married,Female,elizabeth29@adventure-works.com,130000.0,1,Bachelors,Management,Yes,Elizabeth Price,63,High
14465,Mr.,Dakota,Patterson,1961-02-21,Married,Male,dakota9@adventure-works.com,90000.0,4,High School,Professional,Yes,Dakota Patterson,65,Medium
14466,Mr.,Logan,Adams,1961-02-21,Married,Male,logan42@adventure-works.com,90000.0,4,High School,Professional,Yes,Logan Adams,65,Medium
14467,Mr.,Aidan,Russell,1961-05-04,Married,Male,aidan21@adventure-works.com,90000.0,4,High School,Professional,Yes,Aidan Russell,65,Medium
14468,Mrs.,Grace,Rivera,1961-04-09,Single,Female,grace33@adventure-works.com,90000.0,4,High School,Professional,Yes,Grace Rivera,65,Medium
14469,Mrs.,Angela,Bell,1961-04-22,Married,Female,angela40@adventure-works.com,100000.0,3,Partial College,Professional,Yes,Angela Bell,65,High
14470,Mr.,Jeremy,Robinson,1961-02-04,Married,Male,jeremy4@adventure-works.com,130000.0,1,Bachelors,Management,Yes,Jeremy Robinson,65,High
14471,Mr.,Gabriel,Gonzalez,1961-07-17,Single,Male,gabriel39@adventure-works.com,130000.0,1,Bachelors,Management,No,Gabriel Gonzalez,64,High
14472,Mrs.,Natalie,Diaz,1961-06-03,Married,Female,natalie44@adventure-works.com,130000.0,3,Bachelors,Management,Yes,Natalie Diaz,65,High
14473,Mr.,Miguel,King,1961-02-03,Married,Male,miguel27@adventure-works.com,160000.0,1,Bachelors,Management,Yes,Miguel King,65,High
14474,Mrs.,Jacqueline,Murphy,1955-09-21,Married,Female,jacqueline39@adventure-works.com,60000.0,2,High School,Professional,No,Jacqueline Murphy,70,Medium
14475,Mrs.,Isabella,Perry,1955-08-13,Married,Female,isabella18@adventure-works.com,60000.0,2,High School,Professional,No,Isabella Perry,70,Medium
14476,Mr.,Bryce,Reed,1955-01-18,Married,Male,bryce19@adventure-works.com,60000.0,2,High School,Professional,No,Bryce Reed,71,Medium
14477,Mrs.,Lauren,Lee,1955-08-07,Single,Female,lauren40@adventure-works.com,70000.0,4,High School,Professional,Yes,Lauren Lee,70,Medium
14478,Mrs.,Abigail,Patterson,1954-08-09,Single,Female,abigail35@adventure-works.com,80000.0,2,Partial High School,Skilled Manual,Yes,Abigail Patterson,71,Medium
14479,Mrs.,Samantha,Smith,1936-09-20,Single,Female,samantha2@adventure-works.com,170000.0,1,Graduate Degree,Management,No,Samantha Smith,89,High
14480,Mr.,Jackson,Gonzalez,1960-05-05,Married,Male,jackson38@adventure-works.com,80000.0,5,Partial College,Professional,Yes,Jackson Gonzalez,66,Medium
14481,Mrs.,Mary,Edwards,1960-08-01,Single,Female,mary15@adventure-works.com,90000.0,4,High School,Professional,Yes,Mary Edwards,65,Medium
14482,Mr.,Noah,Perez,1960-07-22,Married,Male,noah30@adventure-works.com,90000.0,4,High School,Professional,Yes,Noah Perez,65,Medium
14483,Mrs.,Nicole,Henderson,1960-07-22,Married,Female,nicole53@adventure-works.com,90000.0,4,High School,Professional,Yes,Nicole Henderson,65,Medium
14485,Mrs.,Bailey,Stewart,1960-06-11,Married,Female,bailey23@adventure-works.com,160000.0,1,Partial College,Professional,Yes,Bailey Stewart,65,High
14486,Mr.,Jonathan,Coleman,1960-03-19,Married,Male,jonathan5@adventure-works.com,170000.0,1,Graduate Degree,Management,Yes,Jonathan Coleman,66,High
14487,Mr.,Seth,Hall,1954-10-06,Married,Male,seth23@adventure-works.com,60000.0,2,Partial High School,Skilled Manual,Yes,Seth Hall,71,Medium
14488,Mr.,Connor,Hughes,1954-03-05,Married,Male,connor6@adventure-works.com,70000.0,3,High School,Professional,Yes,Connor Hughes,72,Medium
14489,Mr.,Jason,Wang,1953-06-14,Married,Male,jason22@adventure-works.com,70000.0,3,Graduate Degree,Management,Yes,Jason Wang,72,Medium
14490,Mr.,Aidan,Butler,1953-10-17,Married,Male,aidan15@adventure-works.com,70000.0,3,Graduate Degree,Management,Yes,Aidan Butler,72,Medium
14491,Mr.,Isaac,Bailey,1953-11-03,Single,Male,isaac15@adventure-works.com,70000.0,3,Graduate Degree,Management,Yes,Isaac Bailey,72,Medium
14492,Mr.,Justin,Patterson,1953-05-26,Married,Male,justin7@adventure-works.com,70000.0,3,Graduate Degree,Management,Yes,Justin Patterson,73,Medium
14493,Mrs.,Sara,Parker,1953-07-25,Single,Female,sara33@adventure-works.com,70000.0,3,Graduate Degree,Management,No,Sara Parker,72,Medium
14494,Mr.,Cameron,Diaz,1953-05-17,Married,Male,cameron17@adventure-works.com,60000.0,3,Graduate Degree,Management,Yes,Cameron Diaz,73,Medium
14495,Mr.,Nathan,Diaz,1952-06-23,Married,Male,nathan18@adventure-works.com,40000.0,3,Partial College,Professional,No,Nathan Diaz,73,Low
